KEY,VALUE
OBJECT_SENSITIVITY_LEVEL,2147483647
CALL_GRAPH_CONSTRUCTION_TIME_IN_MILLISECONDS,9978
NUMBER_OF_ENTRY_POINTS,1
NUMBER_OF_NODES_OF_CALL_GRAPH,1896
NUMBER_OF_PRIMORDIAL_NODES_OF_CALL_GRAPH,1872
NUMBER_OF_EXTENSION_NODES_OF_CALL_GRAPH,0
NUMBER_OF_APPLICATION_NODES_OF_CALL_GRAPH,24
NUMBER_OF_NODES_OF_HEAP_GRAPH,15150
NUMBER_OF_CLASSES,4282
BUG_PATTERN_VNA00J_DETECTION_TIME_IN_MILLISECONDS,874
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_VNA00J,67
BUG_PATTERN_LCK06J_DETECTION_TIME_IN_MILLISECONDS,810
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK06J,0
BUG_PATTERN_LCK02J_DETECTION_TIME_IN_MILLISECONDS,4
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK02J,0
BUG_PATTERN_LCK01J_DETECTION_TIME_IN_MILLISECONDS,4
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK01J,0
BUG_PATTERN_LCK03J_DETECTION_TIME_IN_MILLISECONDS,2
NUMBER_OF_INSTANCES_OF_BUG_PATTERN_LCK03J,0
